科目名	学部課程	年度	科目区分	科目小区分	必須度	学修プログラム
制御工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
計算機プログラミング実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
機械製図I	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
機械工学基礎実験	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
機械製図II	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
ASEAN グロ-バルプログラム	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
デザインシンキング	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
クラウドコンピュ-ティング演習	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
確率·統計I	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
フ-リエ変換	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
電磁気学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
確率·統計II	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
ラプラス変換	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
ベクトル解析	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
振動工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12]
材料力学応用	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,13,15]
粘性流体力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13]
ディジタル電子制御	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[14]
機構学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[14,16]
機械材料学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,13,16]
複素解析	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
航空流体力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13]
計算機応用実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
機械工学·ロボティクス実験	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
機械要素	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	[12,16]
材料力学·機械力学演習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
電子·制御演習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
熱·流体演習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
設計製図	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
セミナ-	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
グロ-バル人材育成プログラム	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
プロジェクトリサ-チI	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
プロジェクトリサ-チII	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工キャリア実習I	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工インタ-ンシップI	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工キャリア実習II	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
先端理工インタ-ンシップII	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	選択	NULL
計測工学I	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[14]
弾性構造力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,13,15]
航空·宇宙工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13,19]
熱工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13,16]
制御系設計論	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[11,14,16]
計算力学実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,15]
メカトロニクス	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[11,14]
先進材料工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
機械加工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,16]
材料力学実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
ロボット実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[14,15]
熱·流体実習	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
計測工学II	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[14]
自動車工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13]
機械設計	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12]
解析力学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,13,19]
バイオメカニクス	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,15,19]
材料強度学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[12,15]
伝熱工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[13,16]
システム工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	NULL
ロボット工学	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	選択	[11,14,15]
職業指導	機械工学·ロボティクス課程	2025	専攻科目	専門基礎科目	随意	NULL
科学技術英語	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
特別研究	機械工学·ロボティクス課程	2025	専攻科目	専門応用科目	必修	NULL
